Year,Country,ISO Code,CAP Budget (EUR Million),Export Value (EUR Million),CAP Efficiency,Organic Livestock (Head),Farm Labour Force (Person),Farm Land Use (Hectare)
2016,Austria,AT,2074.456374,10308.9,4.969446515822463,404648.0,318840.0,5237770.0
2017,Austria,AT,1924.1080144999996,10965.0,5.698744518170605,422008.0,310887.5,5105540.0
2018,Austria,AT,1945.13228196,11333.3,5.8264931928331745,421324.0,302935.0,4973310.0
2019,Austria,AT,1973.9124704199996,12039.8,6.099459920549683,420693.0,294982.5,4841080.0
2020,Austria,AT,2003.9346289,12342.0,6.158883539417038,417658.0,287030.0,4708850.0
2021,Austria,AT,1289.8568568800001,13215.6,10.245788072923734,420118.0,285343.3333333333,4685826.666666667
2022,Austria,AT,1339.62337841,15321.9,11.437468356356677,428676.0,283656.6666666667,4662803.333333333
2023,Austria,AT,1378.05905473,16396.9,11.898546686892608,413299.0,281970.0,4639780.0
2024,Austria,AT,1235.58389427,16787.4,13.586612837745209,405386.0,281970.0,4639780.0
2016,Belgium,BE,1013.9244518200002,34913.8,34.434320956881486,88787.0,70910.0,1416160.0
2017,Belgium,BE,892.4611352199998,36938.6,41.389589464749406,108016.0,70167.5,1409390.0
2018,Belgium,BE,1199.7895529388632,36667.3,30.561442971547887,106049.0,69425.0,1402620.0
2019,Belgium,BE,1129.0272930305855,38184.1,33.82035158557109,107690.0,68682.5,1395850.0
2020,Belgium,BE,1197.9507581500002,37977.9,31.702388217233082,111951.0,67940.0,1389080.0
2021,Belgium,BE,672.73977819,41571.4,61.79417561995138,110415.0,66936.66666666667,1382750.0
2022,Belgium,BE,708.3609513399999,48642.3,68.6688049475113,110306.0,65933.33333333333,1376420.0
2023,Belgium,BE,742.162403259999,53354.3,71.89032988687866,107929.0,64930.0,1370090.0
2024,Belgium,BE,742.31860938,56377.2,75.94744263125428,106544.0,64930.0,1370090.0
2016,Bulgaria,BG,1744.401403339999,3164.2,1.8139173666918162,9718.0,439740.0,4927250.0
2017,Bulgaria,BG,1818.9183028000007,3204.9,1.7619812803392276,10400.0,402485.0,4911882.5
2018,Bulgaria,BG,1839.6668691799998,3346.1,1.8188619124784624,9314.0,365230.0,4896515.0
2019,Bulgaria,BG,1922.98491784,3812.6,1.9826468552246979,9402.0,327975.0,4881147.5
2020,Bulgaria,BG,1909.0142968599998,3646.1,1.9099385510088673,10343.0,290720.0,4865780.0
2021,Bulgaria,BG,1221.8052259,4416.8,3.614978808710299,10408.0,278783.3333333333,4767940.0
2022,Bulgaria,BG,1058.520385120001,5440.9,5.140099403360269,8555.0,266846.6666666667,4670100.0
2023,Bulgaria,BG,1131.19750238,6095.1,5.388183749677773,9411.0,254910.0,4572260.0
2024,Bulgaria,BG,1197.8280671300001,5415.7,4.5212665729031,13909.0,254910.0,4572260.0
2016,Croatia,HR,433.70339323,1690.6,3.8980557366851105,14442.0,318060.0,1648280.0
2017,Croatia,HR,461.38939146999985,1782.8,3.863981341920212,17226.0,321447.5,1634517.5
2018,Croatia,HR,705.27752861,1965.3,2.786562622905797,19613.0,324835.0,1620755.0
2019,Croatia,HR,876.7796248,2019.4,2.303201332330961,21551.0,328222.5,1606992.5
2020,Croatia,HR,1019.55600994,2194.3,2.152211333763932,22302.0,331610.0,1593230.0
2021,Croatia,HR,720.22007997,2534.4,3.5189243822604444,31076.0,319623.3333333333,1600276.6666666667
2022,Croatia,HR,738.50059049,3184.8,4.312521941095354,34518.0,307636.6666666667,1607323.3333333333
2023,Croatia,HR,751.2853009300001,3467.3,4.615157511677526,38015.0,295650.0,1614370.0
2024,Croatia,HR,695.0005880799999,3334.8,4.7982693211996805,40309.0,295650.0,1614370.0
2016,Cyprus,CY,132.34190606,338.2,2.555501957533163,350.0,72910.0,120060.0
2017,Cyprus,CY,128.84008391999998,368.0,2.8562539607510686,506.0,72770.0,125007.5
2018,Cyprus,CY,130.23502086,409.2,3.1420120125744186,469.0,72630.0,129955.0
2019,Cyprus,CY,132.21573044,439.0,3.320331087224299,731.0,72490.0,134902.5
2020,Cyprus,CY,123.63451651,452.1,3.6567458082260758,601.0,72350.0,139850.0
2021,Cyprus,CY,67.00974500000001,452.8,6.757226131811126,837.0,70673.33333333333,138483.33333333334
2022,Cyprus,CY,69.15655075,501.1,7.245879017469651,794.0,68996.66666666667,137116.66666666666
2023,Cyprus,CY,76.36407215,523.4,6.854008505097773,475.0,67320.0,135750.0
2024,Cyprus,CY,79.3576728700001,569.0,7.170069124029232,646.0,67320.0,135750.0
2016,Czechia,CZ,2065.2959497699994,6557.6,3.1751381688083415,246684.0,130290.0,4845020.0
2017,Czechia,CZ,1989.7639117199992,6660.6,3.347432306299303,255978.0,128827.5,4864545.0
2018,Czechia,CZ,2029.3565668500003,6531.5,3.218507829867621,262061.0,127365.0,4884070.0
2019,Czechia,CZ,2144.74806915,6875.8,3.205877696733396,262910.0,125902.5,4903595.0
2020,Czechia,CZ,2133.13782615,7299.6,3.4220011058426096,268831.0,124440.0,4923120.0
2021,Czechia,CZ,1150.89538546,7852.4,6.822861659890559,278346.0,125596.66666666667,4993240.0
2022,Czechia,CZ,1243.52815514,9834.9,7.908867973232788,279939.0,126753.33333333333,5063360.0
2023,Czechia,CZ,1262.104414349999,11514.6,9.123333908890713,272277.0,127910.0,5133480.0
2024,Czechia,CZ,1016.163938449999,12258.1,12.06311259057061,271869.0,127910.0,5133480.0
2016,Denmark,DK,1863.4298227800002,16194.5,8.690694869227684,164397.0,73320.0,2950970.0
2017,Denmark,DK,1827.6353862100002,17109.8,9.361714119292083,199870.0,75050.0,3000440.0
2018,Denmark,DK,1758.0011889300001,16639.3,9.46489689812294,220754.0,76780.0,3049910.0
2019,Denmark,DK,1764.9580647,17364.1,9.83825074787342,224348.0,78510.0,3099380.0
2020,Denmark,DK,1727.16723736,17120.0,9.912184315265364,227336.0,80240.0,3148850.0
2021,Denmark,DK,922.18305215,17812.1,19.315145684441323,231472.0,78330.0,3183870.0
2022,Denmark,DK,902.64378187,20322.0,22.51386472512897,228268.0,76420.0,3218890.0
2023,Denmark,DK,922.26421671,20858.0,22.616078583648076,228268.0,74510.0,3253910.0
2024,Denmark,DK,1005.00239707,21125.3,21.02014886888731,228268.0,74510.0,3253910.0
2016,Estonia,EE,376.7342027000001,1009.2,2.678811726589219,36774.0,38380.0,1160890.0
2017,Estonia,EE,348.37691766000006,1113.9,3.1973989766081905,40049.0,36435.0,1173297.5
2018,Estonia,EE,380.42329603,1081.3,2.842360105924557,41499.0,34490.0,1185705.0
2019,Estonia,EE,393.97236552000004,1278.1,3.2441361675533993,42290.0,32545.0,1198112.5
2020,Estonia,EE,389.84466934999995,1274.8,3.2700203445785556,45713.0,30600.0,1210520.0
2021,Estonia,EE,273.06387759000006,1333.6,4.883838945561205,44694.0,29363.333333333332,1223160.0
2022,Estonia,EE,291.30357064,1798.5,6.173971695742206,44275.0,28126.666666666668,1235800.0
2023,Estonia,EE,326.12904367,1840.7,5.644084866794471,42305.0,26890.0,1248440.0
2024,Estonia,EE,299.63858225999996,2002.7,6.683718715042622,38988.0,26890.0,1248440.0
2016,Finland,FI,1501.16323876,1374.5,0.9156232743451491,61942.0,111860.0,5482220.0
2017,Finland,FI,1393.6381490499994,1536.1,1.102222984529458,68197.0,109462.5,5437847.5
2018,Finland,FI,1414.88221516,1471.4,1.0399452224605203,72082.0,107065.0,5393475.0
2019,Finland,FI,1407.23012278,1666.4,1.1841702170985415,76173.0,104667.5,5349102.5
2020,Finland,FI,1339.9775367799998,1775.0,1.3246490715548638,81360.0,102270.0,5304730.0
2021,Finland,FI,942.1710214100001,1741.6,1.8484966746203035,84740.0,98833.33333333333,5241776.666666667
2022,Finland,FI,977.4101929999999,2213.2,2.2643512578960796,87113.0,95396.66666666667,5178823.333333333
2023,Finland,FI,748.4667623500001,2087.3,2.7887677917004567,83388.0,91960.0,5115870.0
2024,Finland,FI,797.53352633,2198.5,2.756623925412653,77450.0,91960.0,5115870.0
