Year,Countries and Territories,Import Value (EUR Thousand),Export Value (EUR Thousand),Balance (Euro Million)
2016,Australia,71278.0,52125.0,-19.153
2016,Austria,13697.0,25208.0,11.511
2016,Belgium,235318.0,207697.0,-27.621
2016,Brazil,71810.0,4085.0,-67.725
2016,Bulgaria,5413.0,11851.0,6.438
2016,Canada,49979.0,100819.0,50.84
2016,China,55022.0,915922.0,860.9
2016,Croatia,54.0,717.0,0.663
2016,Cyprus,1015.0,5059.0,4.044
2016,Czech Republic,9562.0,48811.0,39.249
2016,Denmark,83710.0,128187.0,44.477
2016,Estonia,653.0,2854.0,2.201
2016,Finland,11568.0,12019.0,0.451
2016,France,418850.0,775448.0,356.598
2016,Germany,540607.0,665856.0,125.249
2016,Great Britain,3021208.0,3882525.0,861.317
2016,Greece,7770.0,25004.0,17.234
2016,Hungary,5666.0,9286.0,3.62
2016,India,38636.0,3129.0,-35.507
2016,Italy,161634.0,333213.0,171.579
2016,Japan,2048.0,55372.0,53.324
2016,Latvia,13596.0,40902.0,27.306
2016,Lithuania,10402.0,3105.0,-7.297
2016,Luxembourg,993.0,4693.0,3.7
2016,Malaysia,51271.0,41724.0,-9.547
2016,Malta,3160.0,12391.0,9.231
2016,Mexico,21720.0,32343.0,10.623
2016,Netherlands,856971.0,756676.0,-100.295
2016,Northern Ireland,715352.0,813522.0,98.17
2016,Norway,6211.0,7952.0,1.741
2016,Poland,166096.0,188504.0,22.408
2016,Portugal,34506.0,33951.0,-0.555
2016,Romania,14626.0,14724.0,0.098
2016,Russia,18914.0,60992.0,42.078
2016,Saudi Arabia,638.0,136184.0,135.546
2016,Singapore,3531.0,30015.0,26.484
2016,Slovakia,10234.0,5904.0,-4.33
2016,Slovenia,1315.0,3296.0,1.981
2016,South Africa,32796.0,53559.0,20.763
2016,South Korea,1594.0,39624.0,38.03
2016,Spain,228451.0,238930.0,10.479
2016,Sweden,27675.0,166631.0,138.956
2016,Switzerland,33676.0,53437.0,19.761
2016,Taiwan,1246.0,22213.0,20.967
2016,Thailand,57223.0,15422.0,-41.801
2016,Turkey,14493.0,41829.0,27.336
2016,USA,293391.0,945920.0,652.529
2017,Australia,40063.0,82970.0,42.907
2017,Austria,29592.0,26795.0,-2.797
2017,Belgium,244899.0,292956.0,48.057
2017,Brazil,109652.0,2053.0,-107.599
2017,Bulgaria,4800.0,13167.0,8.367
2017,Canada,88482.0,104262.0,15.78
2017,China,58425.0,953324.0,894.899
2017,Croatia,1488.0,1310.0,-0.178
2017,Cyprus,1001.0,5199.0,4.198
2017,Czech Republic,9546.0,59897.0,50.351
2017,Denmark,100498.0,140883.0,40.385
2017,Estonia,2184.0,2586.0,0.402
2017,Finland,12643.0,15617.0,2.974
2017,France,423070.0,885423.0,462.353
2017,Germany,621096.0,773267.0,152.171
2017,Great Britain,3181774.0,4111476.0,929.702
2017,Greece,10237.0,24970.0,14.733
2017,Hungary,6795.0,14123.0,7.328
2017,India,34197.0,5175.0,-29.022
2017,Italy,170640.0,358138.0,187.498
2017,Japan,3186.0,91393.0,88.207
2017,Latvia,19133.0,41341.0,22.208
2017,Lithuania,10772.0,4644.0,-6.128
2017,Luxembourg,530.0,4144.0,3.614
2017,Malaysia,48558.0,37344.0,-11.214
2017,Malta,2613.0,15259.0,12.646
2017,Mexico,22903.0,10548.0,-12.355
2017,Netherlands,871314.0,896167.0,24.853
2017,Northern Ireland,924625.0,946394.0,21.769
2017,Norway,9599.0,10426.0,0.827
2017,Poland,217350.0,172223.0,-45.127
2017,Portugal,23329.0,40856.0,17.527
2017,Romania,9799.0,18991.0,9.192
2017,Russia,25772.0,67358.0,41.586
2017,Saudi Arabia,903.0,152007.0,151.104
2017,Singapore,3813.0,30575.0,26.762
2017,Slovakia,3280.0,5068.0,1.788
2017,Slovenia,263.0,4543.0,4.28
2017,South Africa,30908.0,78051.0,47.143
2017,South Korea,2525.0,34719.0,32.194
2017,Spain,229540.0,258013.0,28.473
2017,Sweden,37952.0,168594.0,130.642
2017,Switzerland,33096.0,65279.0,32.183
2017,Taiwan,1131.0,22799.0,21.668
2017,Thailand,54290.0,20314.0,-33.976
2017,Turkey,13054.0,75495.0,62.441
2017,USA,272333.0,1079782.0,807.449
2018,Australia,38471.0,56607.0,18.136
2018,Austria,55031.0,26055.0,-28.976
2018,Belgium,244216.0,280060.0,35.844
2018,Brazil,128222.0,5703.0,-122.519
2018,Bulgaria,21536.0,13647.0,-7.889
2018,Canada,184486.0,105534.0,-78.952
2018,China,63510.0,792462.0,728.952
2018,Croatia,4923.0,3494.0,-1.429
2018,Cyprus,2407.0,6487.0,4.08
2018,Czech Republic,9878.0,65159.0,55.281
2018,Denmark,108004.0,145377.0,37.373
2018,Estonia,4116.0,3355.0,-0.761
2018,Finland,10299.0,17748.0,7.449
2018,France,469476.0,860535.0,391.059
2018,Germany,638502.0,762733.0,124.231
2018,Great Britain,3347965.0,4196735.0,848.77
2018,Greece,14656.0,29653.0,14.997
2018,Hungary,7955.0,24496.0,16.541
2018,India,36067.0,6720.0,-29.347
2018,Italy,182934.0,368420.0,185.486
2018,Japan,3020.0,112402.0,109.382
2018,Latvia,19722.0,55193.0,35.471
2018,Lithuania,21933.0,5306.0,-16.627
2018,Luxembourg,1145.0,5380.0,4.235
2018,Malaysia,57773.0,54016.0,-3.757
2018,Malta,1667.0,14121.0,12.454
2018,Mexico,12208.0,13775.0,1.567
2018,Netherlands,890396.0,1013812.0,123.416
2018,Northern Ireland,1013364.0,1005876.0,-7.488
2018,Norway,14445.0,12143.0,-2.302
2018,Poland,198457.0,142537.0,-55.92
2018,Portugal,25051.0,41364.0,16.313
2018,Romania,9693.0,31980.0,22.287
2018,Russia,27727.0,42147.0,14.42
2018,Saudi Arabia,333.0,107801.0,107.468
2018,Singapore,4253.0,29924.0,25.671
2018,Slovakia,2334.0,12261.0,9.927
2018,Slovenia,340.0,5849.0,5.509
2018,South Africa,35834.0,77109.0,41.275
2018,South Korea,1837.0,34178.0,32.341
2018,Spain,243209.0,272964.0,29.755
2018,Sweden,53329.0,153241.0,99.912
2018,Switzerland,36792.0,64998.0,28.206
2018,Taiwan,1011.0,21759.0,20.748
2018,Thailand,57852.0,26878.0,-30.974
2018,Turkey,14695.0,55761.0,41.066
2018,USA,329792.0,949463.0,619.671
2019,Australia,37219.0,70033.0,32.814
2019,Austria,51105.0,25815.0,-25.29
2019,Belgium,299497.0,283503.0,-15.994
2019,Brazil,122327.0,8513.0,-113.814
2019,Bulgaria,10433.0,16785.0,6.352
2019,Canada,133497.0,117176.0,-16.321
2019,China,73604.0,915956.0,842.352
2019,Croatia,9563.0,9472.0,-0.091
2019,Cyprus,1312.0,6848.0,5.536
2019,Czech Republic,11015.0,68183.0,57.168
2019,Denmark,71510.0,142977.0,71.467
2019,Estonia,700.0,3024.0,2.324
2019,Finland,12011.0,18051.0,6.04
2019,France,455913.0,928301.0,472.388
2019,Germany,671722.0,793739.0,122.017
